"Fecha","Indice_total","Total_Fertilizantes","Total_Plaguicidas","Total_Otros","Total_Simples","Total_Compuestos","Total_Herbicidas","Total_Fungicidas","Total_Insecticidas","Urea 46%","Urea sulfato","DAP 18-46","KCL 0-0-60","SAM","15-15-15","25-4-24","17-6-18-2","18-18-18","31-8-8","12-24-12","13-26-6","15-4-23","10-20-30","28-4-0-6","Glifosato","Paraquat","Propanil","2,4-D + picloram","2,4-D","Aminopiralid + 2,4-D","Diuron","Glufosinato de amonio","Picloram","Oxadiazon","Metsulfuron metil","Pendimetalin","Clorotalonil","Difenoconazol","Mancozeb","Mancozeb + cimoxanil","Azoxistrobin + difenoconazol","Dimetomorf","Tebuconazol + trifloxistrobin","Propineb + fluopicolide","Mancozeb + metalaxil-m","Clorpirifos","Fipronil","Metomil","Tiametoxam + lambdacihalotrina","Abamectina","Imidacloprid","Profenofos + cipermetrina","Cipermetrina","Profenofos","Total_Coadyuvantes","Total_Reguladores","Total_Molusquicidas"
"04/2022","209.75","257.94","137.69","107.12","279.45","241.39","160.87","112.95","109.77","299.18","266.89","232.37","281.55","272.43","217.19","273.24","223.68","257.39","274.9","207.64","232.88","244.12","239.71","251.83","238.12","133.88","116.57","125.1","145.04","122.49","128.98","145.26","133.14","94.09","97.17","97.85","100.85","111.18","139.84","119.31","109.92","110.89","104.72","109.63","113.61","125.91","103.68","105.26","102.77","107.39","102.26","105.01","115.1","117.25","106.46","109.09","116.27"
"03/2022","188.6","226.78","131.52","105.59","242.97","214.32","151.39","110.13","107.77","258.78","234.72","207.15","233.59","259.65","196.21","250.44","201.96","236.73","227.76","195.36","193.6","205.46","187.48","230.07","223.52","125.94","112.47","118.92","138.12","115.94","118.86","133.84","112.9","93.9","96.54","96.95","100.04","107.78","132.09","116.79","107.25","108.48","103.86","108.6","109.67","123.39","102.41","104.71","101.9","101.03","102.83","103.82","112.35","111.39","104.9","107.83","109.81"
"02/2022","184.09","222.1","127.25","105.95","239.1","209.03","144.8","108.58","106.06","256.94","231.45","206.7","223.04","259.72","194","242.77","202.33","215.73","234.61","186.66","194.36","199.26","187.14","210.55","210.35","118.91","110.57","115.69","134.12","110.27","116.1","125.92","116.72","93.21","96.84","96.66","99.97","105.12","127.55","115.12","106.49","106.14","103.81","108.38","108.54","119.84","101.63","104.28","101.09","100.84","101.65","103.78","105.27","108.48","105.53","107.2","111.04"
"01/2022","177.66","215.06","121.74","105.35","231.3","202.57","136.29","106.6","103.91","250.44","223.6","197.86","213.68","252.23","184.59","231.62","197.66","215.23","232.35","181.61","188.02","191.59","182.82","202.16","192.62","115.51","105.03","112.16","129.2","106.87","109.79","123.23","101.66","91.3","96.91","95.96","99.78","103.19","121","111.49","105.47","104.62","103.83","107.11","107.6","111.47","100.62","103.98","100.98","100.89","101.43","103.47","103.21","105.11","105.06","106.28","107.75"
"12/2021","167.51","200.73","117.83","105.01","217.16","188.1","129.88","105.23","103.1","234.29","238.06","180.17","200","210.52","176.67","212.66","184.48","192.99","203.8","168.34","173.7","182.44","181.48","190.83","177.15","112.54","106.47","110.76","121.68","106.3","109.45","111.49","100.7","91","95.54","95.35","98.84","102.17","116.33","110.37","104.37","104","103.79","106.95","106.25","108.92","100.14","103.02","101.36","99.52","101.7","103.54","102.64","104.65","104.6","106.28","108.98"
"11/2021","152.42","178.64","113.2","104.37","191.38","168.84","121.75","104.35","102.66","204.69","177.86","171.47","190.21","185.94","161.11","189.86","160.81","175.72","181.87","157.09","161.76","168.92","154.46","158.06","154.73","108.63","106.44","110.16","118.92","105.7","109.5","106.25","98.03","90.15","95.54","95.42","99.04","101.38","113.55","107.38","104.29","103.8","103.72","106.54","105.78","107.25","100.04","102.44","102.22","100.36","100.44","103.31","100.99","104.34","104.1","105.03","112.92"
"10/2021","139.27","160.19","107.99","103.92","167.07","154.9","112.33","103.78","102.39","171.42","153.06","166.07","169.04","165.93","149.61","166.27","152.35","162.3","150.77","151.52","156.35","152.15","153.76","141.08","129.02","106.27","104.48","108.29","111.57","105.63","105.3","104","99.61","89.68","95.33","93.87","99.72","101.89","109.75","106.1","103.38","103.14","103.11","106.17","106.61","106.37","99.59","102.04","102.08","100.04","100.97","103.16","103.07","103.08","103.72","104.41","110.54"
"09/2021","134.41","152.96","106.66","102.86","158.2","148.93","110.09","103.44","102.15","161.14","150.52","163.88","157.35","152.96","143.28","154.83","142.88","157.71","150.14","148.38","153.76","149.8","148.7","137.84","123.52","104.83","104.65","106.82","107.47","105.25","103.97","102.77","99.55","97.64","95.51","93.13","100.2","101.7","108.83","105.84","102.4","103.21","102.6","105.17","105.16","106.04","99.97","101.39","101.75","100.34","100.96","103.08","101.33","102.91","102.36","104.37","109.54"
"08/2021","127.13","141.58","105.52","103.29","146.13","138.09","108.2","102.75","102.19","153.82","139.39","155.09","138.81","134.03","134.91","141.74","133.61","145.66","144.13","137.71","144.46","133.51","127.44","132.83","117.81","104.81","104.23","105.77","107.64","104.75","102.55","101.5","100.26","102.73","92.45","96.71","99.75","101.21","105.96","105.41","102.43","103.18","102.29","104.66","104.59","105.58","100.38","101.47","102.25","98.61","101.67","103.23","101.4","103.77","103.01","103.64","120.74"
"07/2021","119.31","129.37","104.25","102.79","133.08","126.52","106.01","102.41","102.09","139.56","130.18","143.76","121.92","127.73","123.61","130.03","119.41","133.19","132.36","126.09","132.79","118.24","125.87","124.84","112.12","103.64","102.64","105.16","105.62","104.43","103.17","101.06","100.49","102.73","97.19","96.89","99.67","101.28","104.65","104.42","102.96","103.27","102.16","104.08","103.63","104.99","100.27","101.32","102.26","100.02","101.98","102.67","100.74","103.52","102.53","103.41","110.71"
"06/2021","114.22","121.71","103.01","102.15","123.19","120.58","103.82","101.89","102.25","133.01","117.2","133.92","109.07","116.71","119.88","124.93","112.99","127.1","126.11","116.94","125.15","112.8","119.87","116.61","106.56","102.56","104.1","104.47","104.21","103.54","101.8","99.38","99.63","101.24","98.09","96.83","99.89","100.83","102.69","104.13","102.08","102.98","101.58","103.53","103.04","104.52","100.5","102.34","101.99","102.5","101.14","102.56","100.12","103.34","101.88","102.7","112.33"
"05/2021","111.87","118.31","102.24","101.71","119.46","117.42","102.68","101.63","101.85","127.93","119.95","131.18","104.11","111.28","116","118.79","111.7","123.79","122.81","116.24","126.53","111.12","113.88","111.84","104.48","101.58","103.09","103.5","102.17","103.15","101.48","99.97","100.38","100.74","98.1","96.77","100.97","100.54","101.9","103.29","101.66","101.71","101.2","102.61","102.29","103.75","100.2","102.14","101.71","100.93","101.31","102.56","100.32","103.01","101.64","101.97","101.18"
