"Fecha","Indice_total","Total_Fertilizantes","Total_Plaguicidas","Total_Otros","Total_Simples","Total_Compuestos","Total_Herbicidas","Total_Fungicidas","Total_Insecticidas","Urea 46%","Urea sulfato","DAP 18-46","KCL 0-0-60","SAM","15-15-15","25-4-24","17-6-18-2","18-18-18","31-8-8","12-24-12","13-26-6","15-4-23","10-20-30","28-4-0-6","Glifosato","Paraquat","Propanil","2,4-D + picloram","2,4-D","Aminopiralid + 2,4-D","Diuron","Glufosinato de amonio","Picloram","Oxadiazon","Metsulfuron metil","Pendimetalin","Clorotalonil","Difenoconazol","Mancozeb","Mancozeb + cimoxanil","Azoxistrobin + difenoconazol","Dimetomorf","Tebuconazol + trifloxistrobin","Propineb + fluopicolide","Mancozeb + metalaxil-m","Clorpirifos","Fipronil","Metomil","Tiametoxam + lambdacihalotrina","Abamectina","Imidacloprid","Profenofos + cipermetrina","Cipermetrina","Profenofos","Total_Coadyuvantes","Total_Reguladores","Total_Molusquicidas"
"09/2025","147.05","165.71","117.63","129.3","164.08","166.73","119","112.61","117.15","171.39","154.71","207.71","141.12","136.28","160.64","160.95","160.18","176.42","172.15","182.51","182.08","167.95","160.47","146.81","126.68","112.96","132.23","119.99","113.35","146.47","117.21","81.37","100.38","97.45","72.91","115.71","88.38","94.71","147.02","120.77","128.47","92.93","120.75","134.94","123.87","0","0","121.46","80.13","98.74","86.09","125.62","120.52","141.4","129.82","125.63","179.14"
"08/2025","145.32","162.85","117.73","129.23","160.88","164.16","119.19","112.7","117.05","165.37","152.24","205.89","140.44","136.88","160.71","143.42","159.9","180.82","168.61","188.01","181.87","171.97","161.01","146.57","124.51","113.97","134.46","121.49","113.43","146.07","115.31","83.02","102.98","98.46","76.05","115.98","88.31","94.64","147.59","120.21","129.23","93.76","121.04","134.61","123.49","0","0","120.12","81.08","99.58","86.37","125.46","120.61","138.67","129.84","125.29","179.05"
"07/2025","146.43","164.22","118.43","128.96","159.32","167.92","120.5","112.92","116.74","164.47","149.9","203.6","136.84","138.4","162.32","156.34","160.19","176.04","183.39","191.29","181.39","173.1","161.3","145.86","126.81","112.13","137.23","120.64","113.38","147.3","116.68","83.23","116.65","98.85","76.43","116.72","88.32","94.47","147.32","120.92","129.54","95.66","120.78","134.42","124.27","0","0","119.41","80.76","99.18","86.29","125.18","121.2","138.79","129.41","125.37","186.77"
"06/2025","146.35","163.54","119.33","128.56","156.94","168.63","122.06","112.96","117.04","161.29","146.66","199.96","136.26","138.27","161.95","168.71","161.6","175.71","162.77","189.23","180.34","173.83","160.85","148.11","125.97","123.59","136.71","120.95","118.08","145.93","118.09","83.17","110.48","99.8","73.58","117.22","88.71","95.94","147.87","120.1","128.52","94.32","120.8","133.48","124","0","0","119.23","81.25","99.1","86.6","125.04","123.54","138.28","128.73","125.86","186.38"
"05/2025","145.31","161.79","119.43","128.26","156.82","165.55","122","113.07","117.56","160.69","148.25","198.03","135.54","140.4","163.72","152.93","161.81","171.93","163.97","190.06","177.67","171.58","159.82","153.61","126.55","120.17","133.35","121.03","115.87","146.96","119.77","85.78","125.59","99.47","73.08","116.93","88.51","95.53","148.14","120.26","128.51","96.41","120.99","134.02","123.71","0","0","119.28","81.61","99.43","89.89","124.53","122.89","138.57","128.76","124.5","185.09"
"04/2025","145.67","161.94","120.16","127.02","156.01","166.49","123.46","113.06","117.33","158.87","147.86","195.02","134.77","144.72","164.04","155.29","163.04","171.73","165.92","190.04","178.59","172.66","158.92","154.75","126.47","119.74","133.76","122.93","124.13","145.43","119.53","88.35","131.61","101.01","82.2","117.09","88.59","95.82","148.37","120.48","128.61","95.47","120.31","133.48","123.89","0","0","119.22","81.32","98.8","90.23","124.62","122.64","137.79","127.24","124.02","190.94"
"03/2025","145.51","161.63","120.24","127.01","155.57","166.28","123.41","113.06","117.86","158.22","144.93","192.24","138.14","143.92","164.46","150.85","163.25","175.17","165.95","192.53","178.78","171.47","157.29","158.21","127.89","120.4","133.61","123.92","117.61","146.09","120.2","87.53","126.63","100.82","83.4","117.79","88.02","97.22","149.39","120.95","127.33","94.15","120.72","133.51","123.71","0","0","120.4","81.44","99.34","89.27","124.25","124.78","138.82","127.42","123.47","187.56"
"02/2025","144.66","159.9","120.83","125.73","151.84","166.18","124.14","112.97","119.06","150.51","144.32","192.05","136.7","143.49","164.19","161.29","160.97","167.89","159.66","190.4","177.85","171.02","155.74","155.01","128.47","120.59","137.34","123.29","117.89","144.96","121.82","90.43","127.81","100.97","83.13","116.57","87.21","97.84","148.62","124.2","126.64","92.37","120.88","133.15","123.5","0","0","120.17","81.99","99.1","97.12","125.11","124.31","139","126.19","122.09","184.89"
"01/2025","141.58","154.76","121.08","125.35","147.13","160.7","124.79","112.51","119.23","146.56","138.52","183.05","134.2","137.96","161.7","147.82","157.82","163.93","162.35","187.63","170.92","166.07","145.78","146.02","129.86","120.02","142.19","123.68","119.69","144.73","120.04","88.38","124.14","101","83.54","117.05","86.15","98.66","145.92","124.49","125.61","93.68","120.66","133.32","122.73","0","0","119.86","82.8","99.2","98.22","124.66","122.93","139.24","125.9","121.4","183.73"
"12/2024","139.76","151.94","120.88","125.39","143.98","158.16","124.46","112.45","119.21","142.78","134.83","182.42","131.24","135.36","161.75","145.92","152.59","158.01","164.88","185.78","164.93","163.81","142.01","142.45","129.36","119.75","137.2","124.45","121.5","144.75","121.63","88.16","124","99.75","87.17","117.29","85.26","97.63","147.32","125.78","126.1","95.24","119.83","132.39","123.3","0","0","120.26","82","99.23","98.38","124.45","123.52","139.94","125.77","121.92","188.5"
"11/2024","137.83","148.65","121.16","125.4","140.69","154.87","124.65","113.01","119.3","140.04","131.2","177.68","129.25","129.87","154.14","147.45","148.76","157.17","153.62","177.91","165.51","159.11","142.6","148.73","128.47","119.72","141.82","126.1","119.05","145.87","121.56","91.45","123.11","100.03","81.42","117.62","85.57","99.24","147.85","126.52","125.74","96.39","119.81","133.11","122.98","0","0","119.77","83.47","98.62","98.95","124.35","122.22","139.15","125.86","121.58","191.17"
"10/2024","136.96","146.68","122.06","125.65","139.39","152.36","125.65","113.76","120.07","139.88","130.11","174.79","128.27","125.14","152.5","146.1","145.95","154.58","146.23","174.87","164.42","155.77","142.92","144.69","129.55","119.65","141.46","127.06","118.78","145.99","122.31","93.14","133.86","102.38","82.53","117.8","85.88","100.02","150.67","127.75","125.74","97.34","119.85","133.47","123.29","0","0","119.88","84.92","99.21","99.42","124.13","121.92","141.62","125.87","122.5","197.19"
"09/2024","136.21","145.19","122.54","125.83","136.05","152.39","126.61","113.94","119.69","134.34","128.76","171.12","129.88","119.03","151.38","149.73","146.31","154.06","149.17","171.1","162.63","154.4","142.92","140.46","130.48","120.37","143.29","129.73","119.92","146.43","122.81","98.32","126.63","99.77","85.52","118.84","85.7","102.17","150.05","128.13","125.24","96.62","119.87","132.98","123.71","0","0","120.38","85.62","99.03","94.8","123.05","124.53","139.41","125.86","123.27","199.83"
"08/2024","135.92","143.58","124.39","125.28","134.98","150.34","128.84","116.1","120.03","133.55","128.48","167.57","129.94","116.39","146.92","146.19","142.74","154.28","151.79","169.5","163.4","151.33","141.72","140.57","135.45","123.35","142.95","132.68","118.6","146.57","124.9","106.89","120.08","99.32","86.34","119.28","89.41","102.74","152.67","131.22","125.15","103.37","119.85","132.45","122.68","0","130.94","121.36","85.66","99.05","95.81","124.14","122.6","139.52","125.14","123.35","196.15"
"07/2024","135.82","142.58","125.69","126.03","134.94","148.55","130.56","116.9","120.97","132.44","127.91","167.96","133.18","114.7","147.81","147.83","139.71","152.45","145.2","163.39","161.81","146.76","140.31","137.09","137.64","126.28","142.9","134.23","124.48","146.45","126.7","100.98","128.98","100","84.14","120.28","90.1","103.57","152.63","132.42","125.38","107.21","119.51","132.36","123.61","0","131.34","122.39","87.7","99.84","95.09","123.93","123.78","141.29","126.07","123.5","196.49"
"06/2024","134.78","139.81","127.31","125.65","133.37","144.81","134.23","117.58","119.34","131.59","127.33","165.28","129.88","113.41","144.49","140.72","135.71","150.64","145.03","161.68","154.8","142.92","138.49","133.59","142.38","131.66","144.71","135.85","123.19","147.93","127.47","108.71","150.63","99.93","84","119.55","90.47","105.07","155.15","134.63","125.03","105.3","119.39","132.6","123.78","0","121.42","122.09","88.82","99.76","95.63","123.83","125.22","144.68","125.55","123.55","197.23"
"05/2024","134.75","139.13","128.29","125.65","134.21","142.88","136.43","117.67","118.73","130.85","128.06","166.66","132.9","115.76","146.36","134.18","134.35","148.5","136.99","164.77","155.09","143.41","137.87","128.81","144.98","133.46","146.31","137.73","125.54","148.58","134.09","104.54","160.3","99.79","89.1","117.62","90.87","104","155.74","134.02","123.92","107.57","119.71","133.67","124.14","0","115.24","122.57","89.67","100.52","98.92","124.4","124.2","145.56","125.52","123.7","196.04"
"04/2024","137.63","142.29","130.74","125.82","137.31","146.1","140.21","119.02","119.6","133.69","131.43","168.41","136.4","119.75","148.55","133.89","137.36","149.65","147.41","170.28","159.18","146.52","137.64","141.44","150.37","135.15","147.46","141.49","135.32","150.39","137.39","112.29","161.41","99.61","91.71","119.01","91.52","105.51","156.97","138.57","123.98","111.2","119.43","133.38","125.05","0","115.94","123.36","91.01","100.8","98.62","124.37","126.35","147.38","125.69","123.93","193.27"
"03/2024","140.63","146.34","132.11","125.67","141.65","149.9","142.76","118.91","120.1","139.62","132.11","170.52","140.99","124.41","148.79","137.33","142.69","154.14","152.46","175.51","165","151.61","142.87","144.03","155.72","138.27","146.27","143.18","140.62","150.42","139.37","112.56","158.67","100.6","93.3","122.32","90.52","106.44","157.02","137.74","123.57","113.39","119.37","133","125.19","0","115.53","122.85","91.57","102.49","101.15","123.7","128.23","147.51","125.49","123.91","195.79"
"02/2024","144.01","150.53","134.26","125.74","144.93","154.83","146.2","119.89","120.81","142.79","134.36","172.11","146.57","126.71","154.13","149.53","146.27","157.98","152.26","179.29","162.24","159.75","144.12","148.21","161.35","142.64","146.3","143.38","145.07","151.02","140.92","122.66","163.96","101.88","92.46","123.43","92.6","107.31","158.02","139.5","123.35","113.69","119.12","132.52","125.07","0","116.22","123.01","92.54","102.7","101.91","123.58","129.29","149.82","125.45","124.31","194.61"
"01/2024","146.01","152.81","135.83","125.5","147.29","157.03","148.58","120.94","121.21","144.21","135.82","174.64","151.21","129.34","153.37","153.58","149.38","159.74","153.51","185.99","164.25","162.64","143.11","152.08","165.81","148.07","144.46","144.55","143.16","151.52","142.03","127.85","166.07","103.21","96.41","121.68","94.2","107.33","160.19","140.6","123.27","116.33","119.16","132.6","125.89","0","114.76","123.18","93.82","104.11","102.79","124.07","129.09","151.59","125.5","123.13","194.71"
"12/2023","148.43","155.72","137.52","125.92","149.62","160.41","151.45","121.04","122.17","144.64","135.33","176.84","159.14","132.37","154.96","156.89","154.66","160.37","152.28","190.89","178.76","167.29","143.05","157.03","168.68","151.83","147.09","145.44","147.69","151.47","142.38","129.07","165.88","104.5","96.49","121.96","93.87","107.91","160.54","141.91","122.72","117.02","118.58","132.61","125.47","150.66","114.77","123.13","97.14","104.09","104.61","123.96","129.82","151.5","125.9","123.63","194.75"
"11/2023","150.95","159.15","138.69","125.69","151.43","165.09","153.23","121.81","122.38","146.19","133.88","180.76","162.67","132.88","158.7","162.69","163.33","161.86","158.88","192.98","181.99","168.86","155.41","155.21","174.36","154.06","140.11","146.18","152.07","151.4","137.75","130.96","169.4","104.02","96.36","123.76","95.09","111.03","161.57","141.82","122.89","116.28","118.63","131.77","124.9","150.66","113.9","122.32","98.21","102.14","112.06","123.87","129.91","150.19","125.72","123.48","187.71"
"10/2023","154.14","163.09","140.78","125.36","154.32","169.83","156.85","123.05","121.94","144.91","132.84","185.4","168.57","147.03","163.18","165.43","172.3","171.25","152.49","197.97","184.81","174.46","162.29","162.57","178.16","159.78","148.68","148.43","152.99","151.41","139.32","136.69","170.15","103.68","98.09","124.6","96.31","111.53","165.48","144.48","123.35","116.97","118.37","130.84","125.31","143.75","112.79","122.55","100.87","105.6","112.68","123.77","131.32","153.16","125.43","122.85","191.82"
"09/2023","158.68","168.81","143.52","126.07","159.5","175.97","161.39","124.95","121.59","144.19","134","192.25","182.25","156.84","169.62","172.28","183.08","178.94","152.51","198.5","189.51","179.07","163.76","178.32","185.52","165.07","155.68","150.82","155.29","152.14","141.9","143.62","166.81","104.45","101.08","121.87","98.98","112.96","169.42","146.68","123.19","121.59","117.94","129.92","126.04","140.56","112.74","123.01","102.12","106.32","111.77","123.54","131.49","153.26","126.48","122.37","192.87"
"08/2023","164.25","176.26","146.29","126.51","165.53","184.51","165.86","125.26","122.87","146.33","135.47","205.38","193.5","162.4","180.53","176.44","193.28","182.9","162.54","205.21","197.34","192.27","176.68","188.46","196.19","168.92","150.01","153.73","156.69","151.89","146.42","149.99","172.72","101.41","103.67","124.88","99.26","114.06","171.01","146.55","122.68","121.88","117.58","129.51","125.46","144.27","113.71","122.11","104.25","109.68","112.73","122.47","130.85","153.17","127.12","122.59","180.67"
"07/2023","173.24","189.31","149.2","125.9","179.46","196.89","171.39","125.31","122.67","161.89","143.65","208.08","210.45","183.54","187.13","211.33","203.34","193.77","171.45","210.77","204.66","197.54","177.63","204.2","207.94","173.57","157.77","153.73","160.91","151.68","147.68","153.89","168.69","103.98","103.83","124.18","99.77","114.54","172.59","145.14","122.62","121.95","116.11","128.79","124.88","144.58","113.56","121.73","105.62","110.07","112.86","122.72","131.09","145.7","126.65","121.35","183.02"
"06/2023","185.87","209.12","151.11","125.5","205.51","211.89","174.74","125.71","122.81","192.17","168.25","227.58","238.35","198.91","205.06","232.93","206.66","210.37","197.65","216.13","212.33","203.27","193.42","237.2","218.73","176.02","149.65","154.83","164.09","151.71","150.08","155.06","167.85","109.22","105.34","117.88","100.28","115.61","175.77","144.29","122.13","122.78","115.23","126.79","124.51","141.11","113.82","121.06","107.53","110.14","114.29","121.96","132.63","152.29","126.58","119.85","183.02"
"05/2023","194.36","221.57","153.68","123.26","220","222.78","179.51","127.01","121.8","219.35","184.51","230.27","243.78","199.78","217.17","253.89","211.15","215.72","204.37","218.96","230.59","225.47","203.56","233.1","235.8","177.37","145.5","152.64","165.11","150.79","153.54","158.79","167.69","101.31","103.7","112.62","102.77","117.8","181.41","144.52","121.68","120.58","113.47","125.15","125.23","140.95","110.91","117.88","108.48","111.62","116.13","122.23","130.93","146.63","124.08","118.89","168.94"
"04/2023","204.11","237.51","154.17","122.25","246.85","230.32","181.23","126.33","120.69","237.94","254.87","241.54","268.51","222.66","223.08","254.69","225.64","221.43","223.69","222.17","243.08","230.36","214.79","232.26","243.25","176.1","145.79","151.93","162.75","149.4","151.68","159.07","167.98","100.66","106.17","111.19","102","119.26","182.44","142.75","119.93","119.44","112.14","122.68","122.9","139.39","111.63","117.34","107.37","110.35","116.24","119.87","127.87","142.51","123.14","118.49","143.34"
